entry,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2
247,-58.79459032,8921.457447,329.0194762,6194.53634,14154021.5,48.2432294,48.8242412,-1.82188183,1.60458544,1.50973798,0.11157969,-0.132503605
248,-58.79344937,8921.459944,329.0233667,6194.54839,14154020.1,48.2424138,48.8215297,-1.80922317,1.58637766,1.5064056,0.11120394,-0.132053025
249,-58.79234197,8921.462297,329.0271703,6194.56797,14154046.8,48.2416167,48.8188847,-1.79674617,1.56056121,1.50023724,0.11083619,-0.131993382
250,-58.79110848,8921.464456,329.0310091,6194.60112,14154163.7,48.240797,48.8161689,-1.78440986,1.51861007,1.49187094,0.11045712,-0.131641388
251,-58.78998131,8921.466747,329.034788,6194.65973,14154577.7,48.240002,48.8135349,-1.77211926,1.41951874,1.48218013,0.11008969,-0.131437831
252,-58.78885373,8921.469012,329.038553,6194.7638,14155958.8,48.2392081,48.8109067,-1.75984099,-0.82411599,1.47249724,0.10972243,-0.131109263
253,-58.7878163,8921.471301,329.0422493,6194.67899,14154692.2,48.2384447,48.808382,-1.74768235,1.36228287,1.466262,0.10936922,-0.131196661
254,-58.78656584,8921.473467,329.0460458,6194.61922,14154151.1,48.2376258,48.8056741,-1.73579971,1.46760041,1.45405351,0.1089896,-0.130454427
255,-58.78540234,8921.475707,329.0498261,6194.58729,14153973.5,48.2368275,48.803037,-1.72369525,1.49357495,1.44049793,0.10861942,-0.130026033
256,-58.78438347,8921.47796,329.0534907,6194.57161,14153910.9,48.2360572,48.8004939,-1.71171271,1.4997853,1.42495531,0.10826237,-0.129269737
257,-58.78323052,8921.48014,329.0571903,6194.56406,14153881.8,48.2352723,48.797904,-1.69998946,1.49792612,1.40639057,0.10789796,-0.128826241
258,-58.78207562,8921.482274,329.0608745,6194.56112,14153863.3,48.2344904,48.7953272,-1.68832928,1.49038353,1.38528805,0.10753459,-0.128391822
259,-58.7809119,8921.484368,329.0645414,6194.56068,14153848.2,48.233715,48.7927743,-1.67674301,1.47872583,1.36371559,0.1071739,-0.12743641
260,-58.77974533,8921.486487,329.0682317,6194.56163,14153834.6,48.2329121,48.7901296,-1.66525997,1.46438465,1.34445212,0.10680021,-0.126908293
261,-58.77857803,8921.488558,329.0718795,6194.56327,14153821.5,48.2321354,48.7875751,-1.65385964,1.44933283,1.3288316,0.1064385,-0.125875586
262,-58.77738022,8921.490635,329.0755671,6194.56527,14153808.3,48.231353,48.7850049,-1.64239452,1.43487616,1.31597307,0.10607378,-0.125102445
263,-58.7762173,8921.492679,329.0791904,6194.56748,14153795.8,48.2305788,48.7824612,-1.63115691,1.42192411,1.30503352,0.10571278,-0.124663295
264,-58.77502884,8921.494687,329.0828047,6194.56974,14153783.2,48.2298072,48.7799285,-1.62001784,1.41018963,1.2949875,0.10535265,-0.123196459
265,-58.77385152,8921.496692,329.086406,6194.57205,14153770.9,48.2290364,48.7774009,-1.60896338,1.399355,1.28542136,0.10499261,-0.122989981
266,-58.7726667,8921.4987,329.0900022,6194.5744,14153758.9,48.2282637,48.7748654,-1.59799588,1.3891418,1.27612398,0.1046319,-0.121196334
267,-58.77147885,8921.500639,329.0935724,6194.57671,14153746.7,48.2275037,48.772379,-1.58709495,1.37930061,1.26702093,0.10427615,-0.120185825
268,-58.77028458,8921.502614,329.097148,6194.57907,14153734.9,48.2267338,48.7698558,-1.57629934,1.36975454,1.25801724,0.10391621,-0.119128095
269,-58.76906101,8921.504567,329.1007487,6194.58141,14153722.9,48.2259699,48.7673593,-1.56543491,1.3602371,1.24898113,0.10355838,-0.11852367
270,-58.76787231,8921.506473,329.1042886,6194.58379,14153711.2,48.2252125,48.7648837,-1.55475748,1.350932,1.2401328,0.10320355,-0.117164881
271,-58.76665324,8921.50838,329.1078276,6194.58611,14153699.7,48.2244536,48.7624045,-1.54423558,1.34179381,1.231333,0.10284772,-0.115766219
272,-58.76544658,8921.510265,329.1113444,6194.58849,14153688.3,48.2237039,48.7599574,-1.53375423,1.33269077,1.22258068,0.10249599,-0.114518701
273,-58.7642358,8921.512128,329.1148527,6194.59087,14153677,48.2229542,48.7575124,-1.52334575,1.32365566,1.21386494,0.10214409,-0.112394113
274,-58.76302962,8921.51401,329.1183611,6194.59333,14153666.1,48.2221974,48.7550428,-1.51300529,1.31469079,1.20517235,0.10178881,-0.111127735
