,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2
1590,268.292604,14704.72231,2432.507121,1893.79878,67400.1137,366.52538,379.816111,-177.3721627,137.4724694,494.0034544,3.27786156,-6.878738495
1591,268.2312185,14704.59033,2432.741899,1893.96854,67406.7249,366.536758,379.84771,-176.8457553,136.5954423,493.4388839,3.28453896,-6.821503352
1592,268.0927998,14704.10292,2432.730197,1893.69506,67394.5026,366.526966,379.810896,-176.6063461,137.3390746,493.5140637,3.28079777,-6.821142768
1593,268.3375657,14704.86828,2432.454408,1893.76991,67400.8307,366.532788,379.836309,-177.7406831,137.2150641,494.1840827,3.28196339,-6.925273709
1594,268.22377,14704.60789,2432.54548,1893.62377,67388.4989,366.53735,379.846084,-177.2629075,138.2117781,493.6430311,3.28538235,-6.877529709
1595,268.2126034,14704.55453,2432.599094,1893.88563,67404.7023,366.542885,379.861372,-177.2380021,137.1853251,494.1610737,3.28824869,-6.86820117
1596,268.5211501,14705.47327,2432.282724,1893.80288,67406.3331,366.555333,379.913011,-178.2211715,137.4871147,494.102042,3.29197164,-6.941391478
1597,268.2343022,14704.54037,2432.725554,1893.96848,67413.7034,366.535807,379.845637,-176.8682281,135.8966562,493.6643051,3.28378869,-6.826151885
1598,268.2452984,14705.04017,2432.629717,1893.757,67398.752,366.547565,379.88335,-177.2819173,137.5722145,493.5524301,3.28935992,-6.853618559
1599,268.1710835,14704.54786,2432.746374,1893.89331,67406.2354,366.530348,379.831614,-176.8059235,136.3317624,493.7139018,3.28050501,-6.815716615
1600,268.1020041,14704.44532,2432.781539,1893.84127,67398.5184,366.527484,379.820195,-176.6506622,136.9273388,493.5141944,3.27960605,-6.804891739
1601,268.0603508,14704.23365,2432.873614,1893.89458,67402.0978,366.5262,379.81094,-176.4629951,136.8104176,493.6025301,3.27991986,-6.792420575
1602,268.2005888,14704.61311,2432.613521,1894.01811,67418.1581,366.540837,379.857111,-177.2293459,136.029907,494.0369591,3.2869603,-6.865831044
1603,268.1456093,14704.41542,2432.614838,1893.88277,67404.4527,366.546357,379.869185,-177.170392,136.8540556,494.013889,3.29058607,-6.871397443
1604,268.1182795,14704.23316,2432.940868,1893.86859,67401.9593,366.514465,379.781768,-176.2328857,136.4659309,493.2435966,3.27289699,-6.765664396
1605,268.5813308,14705.62848,2432.444407,1893.71302,67400.7328,366.5462,379.887938,-177.9649196,136.311968,493.7548958,3.28685259,-6.905388862
1606,268.3547215,14705.00828,2432.547706,1893.79746,67400.9713,366.540424,379.864138,-177.466895,137.2856818,493.8915031,3.28506135,-6.871027053
1607,268.503156,14705.71462,2432.577643,1893.82613,67402.3332,366.555544,379.91922,-177.7450978,137.6128546,493.6626628,3.29115072,-6.869985159
1608,268.4327218,14705.50516,2432.522089,1893.8792,67405.4561,366.553292,379.909579,-177.7058786,137.3892896,493.7110824,3.29051793,-6.874871357
1609,268.00018,14703.84834,2432.879384,1893.68851,67388.5699,366.517512,379.780428,-176.075746,137.3373602,493.1914299,3.27649568,-6.770790155
1610,268.1966851,14704.42858,2432.68609,1893.83798,67402.6831,366.522956,379.807333,-176.8270207,136.3521616,493.6319534,3.27715771,-6.828524612
1611,268.2987722,14704.66607,2432.639091,1893.67099,67392.15,366.54013,379.856058,-177.1784041,137.799992,493.6248383,3.28640791,-6.868585272
1612,268.1829211,14704.37352,2432.753225,1893.86711,67403.0585,366.523268,379.805551,-176.6940627,136.8083473,493.4773633,3.27772605,-6.813157412
1613,268.1709532,14704.54073,2432.600677,1893.74358,67396.6455,366.532441,379.834305,-177.1937431,137.5796482,493.9786056,3.28216413,-6.866982207
1614,268.2778802,14704.68248,2432.729916,1893.73881,67393.6423,366.536304,379.84777,-176.880746,137.4818292,493.325699,3.28400224,-6.824043144
1615,268.3381404,14705.25772,2432.650585,1893.84068,67403.2917,366.543935,379.877535,-177.3921516,137.2960545,493.6939435,3.28647348,-6.854609143
1616,268.2127185,14704.84223,2432.685726,1893.86287,67405.4502,366.536677,379.844777,-177.1224346,136.8356255,493.7631842,3.28469807,-6.850476354
1617,268.3350482,14705.013,2432.821173,1893.91088,67404.0897,366.541004,379.865542,-176.9471372,136.9597164,493.3971523,3.2858163,-6.813493638
1618,268.2707268,14704.57282,2432.783569,1893.79755,67397.6404,366.523793,379.808834,-176.7700151,137.2516638,493.4905227,3.27775302,-6.826366941
1619,268.2716407,14704.66894,2432.803093,1893.86177,67404.2314,366.517291,379.793394,-176.7888981,136.7874346,493.5727189,3.27348349,-6.813170207
1620,268.5853473,14705.79026,2432.267059,1894.03468,67421.298,366.554791,379.915792,-178.4214737,136.869219,494.2874553,3.2908918,-6.949037613
1621,268.3497224,14704.96099,2432.778629,1893.77453,67397.7483,366.531019,379.839862,-176.9852066,137.3838025,493.5446978,3.27976873,-6.81707919
1622,268.367121,14704.92938,2432.578446,1893.78614,67398.0389,366.535961,379.844916,-177.3502476,137.5898913,493.8074257,3.28386988,-6.869215279
1623,268.1187894,14704.21703,2432.822777,1893.67494,67389.8955,366.529185,379.818816,-176.5431104,137.5387036,493.4590404,3.2817611,-6.813610723
