,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2,MP2,Corr_CCSD,CCSD,Corr_CCSD(T),CCSD(T),RHF
1769,44.6156366,2757.62212,410.8404072,488.207878,41991.7723,62.6747055,67.6723605,-1.19470484,-12.66454373,64.97372724,1.46697371,-1.348681114,-457.680893,-1.3845929,-457.7168048,-1.419777827,-457.7519897,-456.3322119
1770,44.75769498,2757.032517,410.7893504,488.191214,42003.5616,62.719565,67.8466694,-1.14108193,-13.26058988,65.5752751,1.48394314,-1.355438237,-457.6833847,-1.3902298,-457.7181763,-1.426375464,-457.754322,-456.3279465
1771,44.27963643,2756.816027,410.5654519,488.30008,42008.4346,62.6866628,67.7734921,-1.41527466,-12.77376898,66.34853767,1.46304883,-1.356462743,-457.671062,-1.3912097,-457.705809,-1.427728581,-457.7423279,-456.3145993
1772,44.65826885,2757.363089,410.834304,488.212394,41996.206,62.6182987,67.5281193,-1.17468108,-12.33312331,65.04041645,1.43192879,-1.351538578,-457.6780089,-1.3870115,-457.7134817,-1.422656046,-457.7491263,-456.3264703
1773,44.7961015,2757.184744,410.7753324,488.192151,42007.5098,62.7631977,67.9597158,-1.27087306,-13.45821445,65.84904289,1.50917598,-1.356616992,-457.6805494,-1.3917521,-457.7156844,-1.427961828,-457.7518942,-456.3239324
1774,44.49124904,2757.138381,410.7221031,488.289543,42006.5831,62.6653251,67.6711704,-1.3688948,-12.97380114,65.88682954,1.45586765,-1.35294851,-457.6846961,-1.388199,-457.7199466,-1.424036505,-457.7557841,-456.3317476
1775,44.725543,2756.781137,410.816503,488.154868,41989.4095,62.7404041,67.9032094,-0.94116938,-13.49015995,65.57060617,1.49677112,-1.351911096,-457.6909334,-1.3869832,-457.7260055,-1.422647157,-457.7616694,-456.3390223
1776,44.11633187,2755.50061,410.4637784,488.283503,42001.605,62.5046735,67.2077647,-1.05737247,-11.95625751,66.42642805,1.36826807,-1.360411549,-457.6850697,-1.393905,-457.7185632,-1.430750043,-457.7554082,-456.3246582
1777,45.41687333,2758.78127,411.2072785,488.093556,41998.1207,62.6963434,67.732495,-1.06362127,-12.71314875,63.37330019,1.47913996,-1.350555318,-457.6896653,-1.386046,-457.7251559,-1.421236153,-457.7603461,-456.3391099
1778,44.66788778,2758.19124,410.937307,488.257698,41997.3244,62.7271868,67.821531,-1.30344475,-13.17460761,64.87038139,1.49617227,-1.347001142,-457.6815044,-1.3829456,-457.7174489,-1.417920739,-457.752424,-456.3345033
